Term 1,Term 2,wup,sp,lch
love,sex,0.9230769230769231,1.0,0.9933507113510024
tiger,cat,0.9655172413793104,1.0,0.9933507113510024
tiger,tiger,1.0,1.0,0.9933507113510024
book,paper,0.875,1.0,0.9933507113510024
computer,keyboard,0.8235294117647058,0.925,0.697513638868093
computer,internet,0.631578947368421,0.825,0.46935114594543464
plane,car,0.7272727272727273,1.0,0.9933507113510024
train,car,0.7368421052631579,1.0,0.9933507113510024
telephone,communication,0.16666666666666666,1.0,0.9933507113510024
television,radio,0.9090909090909091,1.0,0.9933507113510024
media,radio,0.8235294117647058,1.0,0.9933507113510024
drug,abuse,0.18181818181818182,1.0,0.9933507113510024
bread,butter,0.75,1.0,0.9933507113510024
cucumber,potato,0.8235294117647058,0.925,0.697513638868093
doctor,nurse,0.8235294117647058,1.0,0.9933507113510024
professor,doctor,0.6666666666666666,1.0,0.9933507113510024
student,professor,0.5333333333333333,0.825,0.46935114594543464
smart,student,0.13333333333333333,1.0,0.9933507113510024
smart,stupid,0.13333333333333333,1.0,0.9933507113510024
company,stock,0.6153846153846154,1.0,0.9933507113510024
stock,market,0.5555555555555556,1.0,0.9933507113510024
stock,phone,0.7,1.0,0.9933507113510024
stock,CD,0.7368421052631579,1.0,0.9933507113510024
stock,jaguar,0.8148148148148148,1.0,0.9933507113510024
stock,egg,0.625,1.0,0.9933507113510024
fertility,egg,0.15384615384615385,1.0,0.9933507113510024
stock,live,0.2857142857142857,1.0,0.9933507113510024
stock,life,0.6153846153846154,1.0,0.9933507113510024
book,library,0.8,1.0,0.9933507113510024
bank,money,0.5714285714285714,1.0,0.9933507113510024
wood,forest,1.0,1.0,0.9933507113510024
money,cash,0.875,1.0,0.9933507113510024
professor,cucumber,0.5,0.7,0.3242088163902064
king,cabbage,0.5714285714285714,1.0,0.9933507113510024
king,queen,1.0,1.0,0.9933507113510024
king,rook,0.9090909090909091,1.0,0.9933507113510024
bishop,rabbi,0.75,0.9,0.6200458888731156
Jerusalem,Israel,0.7,0.85,0.5108612276291497
Jerusalem,Palestinian,0.2727272727272727,1.0,0.9933507113510024
holy,sex,0.3076923076923077,1.0,0.9933507113510024
fuck,sex,0.8571428571428571,1.0,0.9933507113510024
Maradona,football,0.0,0.0,0.0
football,soccer,0.9523809523809523,0.975,0.9933507113510024
football,basketball,0.9,0.95,0.806698300112059
football,tennis,0.7619047619047619,0.875,0.55995723371683
tennis,racket,0.6,1.0,0.9933507113510024
Arafat,peace,0.14285714285714285,0.7,0.3242088163902064
Arafat,terror,0.6153846153846154,0.875,0.55995723371683
Arafat,Jackson,0.8,0.925,0.697513638868093
law,lawyer,0.16666666666666666,0.75,0.3733048224778867
movie,star,0.5333333333333333,1.0,0.9933507113510024
movie,popcorn,0.36363636363636365,0.675,0.30265471531561156
movie,critic,0.4444444444444444,0.75,0.3733048224778867
movie,theater,0.625,0.85,0.5108612276291497
physics,proton,0.2222222222222222,0.65,0.2826987347064913
physics,chemistry,0.9,0.95,0.806698300112059
space,chemistry,0.4444444444444444,1.0,0.9933507113510024
alcohol,chemistry,0.6666666666666666,0.9,0.6200458888731156
vodka,gin,0.8888888888888888,1.0,0.9933507113510024
vodka,brandy,0.8888888888888888,0.95,0.806698300112059
drink,car,0.2857142857142857,1.0,0.9933507113510024
drink,ear,0.46153846153846156,1.0,0.9933507113510024
drink,mouth,0.5,1.0,0.9933507113510024
drink,eat,0.5,1.0,0.9933507113510024
baby,mother,0.75,1.0,0.9933507113510024
drink,mother,0.6153846153846154,1.0,0.9933507113510024
car,automobile,1.0,1.0,0.9933507113510024
gem,jewel,1.0,1.0,0.9933507113510024
journey,voyage,0.9523809523809523,1.0,0.9933507113510024
boy,lad,0.9230769230769231,0.975,0.9933507113510024
coast,shore,0.9090909090909091,1.0,0.9933507113510024
asylum,madhouse,0.9523809523809523,0.975,0.9933507113510024
magician,wizard,1.0,1.0,0.9933507113510024
midday,noon,1.0,1.0,0.9933507113510024
furnace,stove,0.5263157894736842,1.0,0.9933507113510024
food,fruit,0.4,1.0,0.9933507113510024
bird,cock,0.9523809523809523,1.0,0.9933507113510024
bird,crane,0.8695652173913043,1.0,0.9933507113510024
tool,implement,0.9333333333333333,1.0,0.9933507113510024
brother,monk,0.9333333333333333,0.975,0.9933507113510024
crane,implement,0.75,1.0,0.9933507113510024
lad,brother,0.6666666666666666,0.9,0.6200458888731156
journey,car,0.10526315789473684,1.0,0.9933507113510024
monk,oracle,0.5333333333333333,0.825,0.46935114594543464
cemetery,woodland,0.42857142857142855,0.8,0.43339347763417224
food,rooster,0.21052631578947367,0.625,0.2641201612339208
coast,hill,0.6666666666666666,1.0,0.9933507113510024
forest,graveyard,0.42857142857142855,1.0,0.9933507113510024
shore,woodland,0.6,1.0,0.9933507113510024
monk,slave,0.6666666666666666,1.0,0.9933507113510024
coast,forest,0.5454545454545454,1.0,0.9933507113510024
lad,wizard,0.6666666666666666,1.0,0.9933507113510024
chord,smile,0.375,1.0,0.9933507113510024
glass,magician,0.47058823529411764,1.0,0.9933507113510024
noon,string,0.26666666666666666,1.0,0.9933507113510024
rooster,voyage,0.08,1.0,0.9933507113510024
money,dollar,0.7777777777777778,0.9,0.6200458888731156
money,cash,0.875,1.0,0.9933507113510024
money,currency,0.9333333333333333,0.975,0.9933507113510024
money,wealth,0.9230769230769231,0.975,0.9933507113510024
money,property,0.8333333333333334,0.95,0.806698300112059
money,possession,0.7272727272727273,0.925,0.697513638868093
money,bank,0.5714285714285714,1.0,0.9933507113510024
money,deposit,0.875,1.0,0.9933507113510024
money,withdrawal,0.2857142857142857,0.75,0.3733048224778867
money,laundering,0.25,1.0,0.9933507113510024
money,operation,0.3333333333333333,0.8,0.43339347763417224
tiger,jaguar,0.9333333333333333,0.95,0.806698300112059
tiger,feline,0.9285714285714286,1.0,0.9933507113510024
tiger,carnivore,0.8888888888888888,0.925,0.697513638868093
tiger,mammal,0.8,0.875,0.55995723371683
tiger,animal,0.8,1.0,0.9933507113510024
tiger,organism,0.8571428571428571,0.95,0.806698300112059
tiger,fauna,0.8,0.925,0.697513638868093
tiger,zoo,0.5333333333333333,0.825,0.46935114594543464
psychology,psychiatry,0.7272727272727273,0.85,0.5108612276291497
psychology,anxiety,0.25,0.7,0.3242088163902064
psychology,fear,0.25,1.0,0.9933507113510024
psychology,depression,0.35294117647058826,0.725,0.34763945821611003
psychology,clinic,0.23529411764705882,0.675,0.30265471531561156
psychology,doctor,0.3333333333333333,1.0,0.9933507113510024
psychology,Freud,0.09523809523809523,0.525,0.20046479819850813
psychology,mind,0.5882352941176471,1.0,0.9933507113510024
psychology,health,0.26666666666666666,0.725,0.34763945821611003
psychology,science,0.9411764705882353,0.975,0.9933507113510024
psychology,discipline,0.875,1.0,0.9933507113510024
psychology,cognition,0.6153846153846154,0.875,0.55995723371683
planet,star,0.8571428571428571,1.0,0.9933507113510024
planet,constellation,0.7692307692307693,0.925,0.697513638868093
planet,moon,0.8,1.0,0.9933507113510024
planet,sun,0.8,1.0,0.9933507113510024
planet,galaxy,0.631578947368421,0.825,0.46935114594543464
planet,space,0.5333333333333333,1.0,0.9933507113510024
planet,astronomer,0.6153846153846154,0.875,0.55995723371683
precedent,example,0.9230769230769231,1.0,0.9933507113510024
precedent,information,0.8333333333333334,1.0,0.9933507113510024
precedent,cognition,0.7272727272727273,1.0,0.9933507113510024
precedent,law,0.9090909090909091,1.0,0.9933507113510024
precedent,collection,0.8,1.0,0.9933507113510024
precedent,group,0.6666666666666666,1.0,0.9933507113510024
precedent,antecedent,0.6153846153846154,1.0,0.9933507113510024
cup,coffee,0.7368421052631579,1.0,0.9933507113510024
cup,tableware,0.8888888888888888,1.0,0.9933507113510024
cup,article,0.75,1.0,0.9933507113510024
cup,artifact,0.7692307692307693,1.0,0.9933507113510024
cup,object,0.5454545454545454,1.0,0.9933507113510024
cup,entity,0.2857142857142857,1.0,0.9933507113510024
cup,drink,0.75,1.0,0.9933507113510024
cup,food,0.6666666666666666,1.0,0.9933507113510024
cup,substance,0.5714285714285714,1.0,0.9933507113510024
cup,liquid,0.7058823529411765,1.0,0.9933507113510024
jaguar,cat,0.9655172413793104,1.0,0.9933507113510024
jaguar,car,0.3333333333333333,0.6,0.2467410663952289
energy,secretary,0.2857142857142857,0.75,0.3733048224778867
secretary,senate,0.13333333333333333,0.675,0.30265471531561156
energy,laboratory,0.3076923076923077,0.775,0.40167656638518373
computer,laboratory,0.4,0.8,0.43339347763417224
weapon,secret,0.2857142857142857,1.0,0.9933507113510024
FBI,fingerprint,0.25,1.0,0.9933507113510024
FBI,investigation,0.2222222222222222,0.65,0.2826987347064913
investigation,effort,0.8235294117647058,0.925,0.697513638868093
Mars,water,0.5,1.0,0.9933507113510024
Mars,scientist,0.47058823529411764,1.0,0.9933507113510024
news,report,0.9230769230769231,1.0,0.9933507113510024
canyon,landscape,0.35294117647058826,1.0,0.9933507113510024
image,surface,0.7142857142857143,1.0,0.9933507113510024
discovery,space,0.4,1.0,0.9933507113510024
water,seepage,0.25,1.0,0.9933507113510024
sign,recess,0.75,1.0,0.9933507113510024
Wednesday,news,0.26666666666666666,0.725,0.34763945821611003
mile,kilometer,0.8,0.925,0.697513638868093
computer,news,0.16666666666666666,0.75,0.3733048224778867
territory,surface,0.6153846153846154,1.0,0.9933507113510024
atmosphere,landscape,0.5,1.0,0.9933507113510024
president,medal,0.23529411764705882,0.7,0.3242088163902064
war,troops,0.3076923076923077,1.0,0.9933507113510024
record,number,0.9090909090909091,1.0,0.9933507113510024
skin,eye,0.6666666666666666,1.0,0.9933507113510024
Japanese,American,0.7692307692307693,1.0,0.9933507113510024
theater,history,0.5,0.85,0.5108612276291497
volunteer,motto,0.15384615384615385,1.0,0.9933507113510024
prejudice,recognition,0.6666666666666666,1.0,0.9933507113510024
decoration,valor,0.26666666666666666,0.725,0.34763945821611003
century,year,0.8333333333333334,0.95,0.806698300112059
century,nation,0.36363636363636365,0.825,0.46935114594543464
delay,racism,0.625,1.0,0.9933507113510024
delay,news,0.5333333333333333,1.0,0.9933507113510024
minister,party,0.6153846153846154,1.0,0.9933507113510024
peace,plan,0.3076923076923077,1.0,0.9933507113510024
minority,peace,0.6153846153846154,0.875,0.55995723371683
attempt,peace,0.3076923076923077,1.0,0.9933507113510024
government,crisis,0.5714285714285714,0.85,0.5108612276291497
deployment,departure,0.7142857142857143,0.9,0.6200458888731156
deployment,withdrawal,0.7777777777777778,0.9,0.6200458888731156
energy,crisis,0.625,0.85,0.5108612276291497
announcement,news,0.6666666666666666,0.9,0.6200458888731156
announcement,effort,0.3076923076923077,0.775,0.40167656638518373
stroke,hospital,0.4,1.0,0.9933507113510024
disability,death,0.5333333333333333,0.825,0.46935114594543464
victim,emergency,0.4444444444444444,0.775,0.40167656638518373
treatment,recovery,0.7692307692307693,0.925,0.697513638868093
journal,association,0.4,0.85,0.5108612276291497
doctor,personnel,0.26666666666666666,1.0,0.9933507113510024
doctor,liability,0.26666666666666666,1.0,0.9933507113510024
liability,insurance,0.625,0.85,0.5108612276291497
school,center,0.875,1.0,0.9933507113510024
reason,hypertension,0.5555555555555556,1.0,0.9933507113510024
reason,criterion,0.5333333333333333,1.0,0.9933507113510024
hundred,percent,0.25,1.0,0.9933507113510024
Harvard,Yale,0.8888888888888888,0.95,0.806698300112059
hospital,infrastructure,0.26666666666666666,0.725,0.34763945821611003
death,row,0.5,1.0,0.9933507113510024
death,inmate,0.2857142857142857,0.75,0.3733048224778867
lawyer,evidence,0.16666666666666666,1.0,0.9933507113510024
life,death,0.8571428571428571,0.95,0.806698300112059
life,term,0.8571428571428571,1.0,0.9933507113510024
word,similarity,0.45454545454545453,1.0,0.9933507113510024
board,recommendation,0.26666666666666666,1.0,0.9933507113510024
governor,interview,0.13333333333333333,1.0,0.9933507113510024
OPEC,country,0.625,0.85,0.5108612276291497
peace,atmosphere,0.7142857142857143,0.9,0.6200458888731156
peace,insurance,0.8235294117647058,0.925,0.697513638868093
territory,kilometer,0.25,0.7,0.3242088163902064
travel,activity,0.6666666666666666,1.0,0.9933507113510024
competition,price,0.5,1.0,0.9933507113510024
consumer,confidence,0.15384615384615385,0.725,0.34763945821611003
consumer,energy,0.3076923076923077,0.775,0.40167656638518373
problem,airport,0.13333333333333333,0.675,0.30265471531561156
car,flight,0.5882352941176471,1.0,0.9933507113510024
credit,card,0.6153846153846154,1.0,0.9933507113510024
credit,information,0.7272727272727273,1.0,0.9933507113510024
hotel,reservation,0.375,0.75,0.3733048224778867
grocery,money,0.13333333333333333,0.675,0.30265471531561156
registration,arrangement,0.6666666666666666,0.9,0.6200458888731156
arrangement,accommodation,0.6666666666666666,0.85,0.5108612276291497
month,hotel,0.15384615384615385,0.725,0.34763945821611003
type,kind,0.9473684210526315,1.0,0.9933507113510024
arrival,hotel,0.47058823529411764,0.775,0.40167656638518373
bed,closet,0.8421052631578947,1.0,0.9933507113510024
closet,clothes,0.5882352941176471,1.0,0.9933507113510024
situation,conclusion,0.625,0.85,0.5108612276291497
situation,isolation,0.7272727272727273,0.925,0.697513638868093
impartiality,interest,0.4,1.0,0.9933507113510024
direction,combination,0.6666666666666666,0.85,0.5108612276291497
street,place,0.6153846153846154,1.0,0.9933507113510024
street,avenue,0.9473684210526315,0.975,0.9933507113510024
street,block,0.6666666666666666,1.0,0.9933507113510024
street,children,0.47058823529411764,0.775,0.40167656638518373
listing,proximity,0.3157894736842105,1.0,0.9933507113510024
listing,category,0.375,1.0,0.9933507113510024
cell,phone,0.9,1.0,0.9933507113510024
production,hike,0.5882352941176471,1.0,0.9933507113510024
benchmark,index,0.7692307692307693,1.0,0.9933507113510024
media,trading,0.625,1.0,0.9933507113510024
media,gain,0.5,1.0,0.9933507113510024
dividend,payment,0.8888888888888888,0.95,0.806698300112059
dividend,calculation,0.2857142857142857,0.75,0.3733048224778867
calculation,computation,1.0,1.0,0.9933507113510024
currency,market,0.3076923076923077,1.0,0.9933507113510024
OPEC,oil,0.2222222222222222,1.0,0.9933507113510024
oil,stock,0.5714285714285714,1.0,0.9933507113510024
announcement,production,0.5,0.85,0.5108612276291497
announcement,warning,0.6153846153846154,1.0,0.9933507113510024
profit,warning,0.2857142857142857,1.0,0.9933507113510024
profit,loss,0.7058823529411765,1.0,0.9933507113510024
dollar,yen,0.8,1.0,0.9933507113510024
dollar,buck,1.0,1.0,0.9933507113510024
dollar,profit,0.3076923076923077,1.0,0.9933507113510024
dollar,loss,0.3333333333333333,0.8,0.43339347763417224
computer,software,0.14285714285714285,0.7,0.3242088163902064
network,hardware,0.8,1.0,0.9933507113510024
phone,equipment,0.875,1.0,0.9933507113510024
equipment,maker,0.5,0.8,0.43339347763417224
luxury,car,0.125,0.65,0.2826987347064913
five,month,0.46153846153846156,1.0,0.9933507113510024
report,gain,0.36363636363636365,1.0,0.9933507113510024
investor,earning,0.0,1.0,0.9933507113510024
liquid,water,0.9230769230769231,1.0,0.9933507113510024
baseball,season,0.2222222222222222,1.0,0.9933507113510024
game,victory,0.5714285714285714,1.0,0.9933507113510024
game,team,0.3076923076923077,1.0,0.9933507113510024
marathon,sprint,0.5,1.0,0.9933507113510024
game,series,0.8571428571428571,1.0,0.9933507113510024
game,defeat,0.5714285714285714,1.0,0.9933507113510024
seven,series,0.375,1.0,0.9933507113510024
seafood,sea,0.36363636363636365,0.825,0.46935114594543464
seafood,food,0.9090909090909091,0.975,0.9933507113510024
seafood,lobster,0.8571428571428571,0.95,0.806698300112059
lobster,food,0.7692307692307693,0.925,0.697513638868093
lobster,wine,0.375,1.0,0.9933507113510024
food,preparation,0.5714285714285714,0.85,0.5108612276291497
video,archive,0.5555555555555556,1.0,0.9933507113510024
start,year,0.5454545454545454,1.0,0.9933507113510024
start,match,0.5714285714285714,1.0,0.9933507113510024
game,round,0.8888888888888888,1.0,0.9933507113510024
boxing,round,0.7272727272727273,1.0,0.9933507113510024
championship,tournament,0.8571428571428571,0.95,0.806698300112059
fighting,defeating,0.2857142857142857,1.0,0.9933507113510024
line,insurance,0.7142857142857143,1.0,0.9933507113510024
day,summer,0.7692307692307693,1.0,0.9933507113510024
summer,drought,0.7692307692307693,1.0,0.9933507113510024
summer,nature,0.3333333333333333,1.0,0.9933507113510024
day,dawn,0.8333333333333334,1.0,0.9933507113510024
nature,environment,0.5454545454545454,0.875,0.55995723371683
environment,ecology,0.9230769230769231,0.975,0.9933507113510024
nature,man,0.6666666666666666,1.0,0.9933507113510024
man,woman,0.8333333333333334,1.0,0.9933507113510024
man,governor,0.6666666666666666,1.0,0.9933507113510024
murder,manslaughter,0.9166666666666666,1.0,0.9933507113510024
soap,opera,0.23529411764705882,1.0,0.9933507113510024
opera,performance,0.3076923076923077,0.775,0.40167656638518373
life,lesson,0.42857142857142855,0.825,0.46935114594543464
focus,life,0.5333333333333333,1.0,0.9933507113510024
production,crew,0.36363636363636365,1.0,0.9933507113510024
television,film,0.7777777777777778,1.0,0.9933507113510024
lover,quarrel,0.4,1.0,0.9933507113510024
viewer,serial,0.5,1.0,0.9933507113510024
possibility,girl,0.16666666666666666,0.75,0.3733048224778867
population,development,0.7272727272727273,0.85,0.5108612276291497
morality,importance,0.6666666666666666,0.9,0.6200458888731156
morality,marriage,0.5454545454545454,0.875,0.55995723371683
Mexico,Brazil,0.8,0.9,0.6200458888731156
gender,equality,0.46153846153846156,0.825,0.46935114594543464
change,attitude,0.5454545454545454,1.0,0.9933507113510024
family,planning,0.3076923076923077,1.0,0.9933507113510024
opera,industry,0.2857142857142857,0.75,0.3733048224778867
sugar,approach,0.2857142857142857,1.0,0.9933507113510024
practice,institution,0.8333333333333334,1.0,0.9933507113510024
ministry,culture,0.5333333333333333,1.0,0.9933507113510024
problem,challenge,0.6153846153846154,1.0,0.9933507113510024
size,prominence,0.6153846153846154,1.0,0.9933507113510024
country,citizen,0.4,0.8,0.43339347763417224
planet,people,0.2,1.0,0.9933507113510024
development,issue,0.75,1.0,0.9933507113510024
experience,music,0.6153846153846154,1.0,0.9933507113510024
music,project,0.8,1.0,0.9933507113510024
glass,metal,0.5454545454545454,1.0,0.9933507113510024
aluminum,metal,0.9230769230769231,1.0,0.9933507113510024
chance,credibility,0.5,1.0,0.9933507113510024
exhibit,memorabilia,0.42857142857142855,1.0,0.9933507113510024
concert,virtuoso,0.14285714285714285,1.0,0.9933507113510024
rock,jazz,0.8571428571428571,1.0,0.9933507113510024
museum,theater,0.625,0.85,0.5108612276291497
observation,architecture,0.7058823529411765,0.875,0.55995723371683
space,world,0.5714285714285714,1.0,0.9933507113510024
preservation,world,0.5882352941176471,1.0,0.9933507113510024
admission,ticket,0.5714285714285714,1.0,0.9933507113510024
shower,thunderstorm,0.7,1.0,0.9933507113510024
shower,flood,0.6363636363636364,1.0,0.9933507113510024
weather,forecast,0.13333333333333333,1.0,0.9933507113510024
disaster,area,0.5,0.8,0.43339347763417224
governor,office,0.5263157894736842,0.775,0.40167656638518373
architecture,century,0.3076923076923077,0.775,0.40167656638518373
